plot,year,groundcover.type,groundcover.mn
1071,2010,bareground,0
1071,2010,litter,0.01
1072,2010,bareground,0
1072,2010,litter,29.75
1073,2010,bareground,0
1073,2010,litter,0
1074,2010,bareground,15.625
1074,2010,litter,0
1075,2010,bareground,13.125
1075,2010,litter,2.125
1077,2010,bareground,0.375
1077,2010,litter,56.25
1080,2010,bareground,0
1080,2010,litter,7.5
1081,2010,bareground,0.875
1081,2010,litter,85
1082,2010,bareground,0.25
1082,2010,litter,0.3775
1083,2010,bareground,20
1083,2010,litter,38.75
1086,2010,bareground,2.0025
1086,2010,litter,3.25
1087,2010,bareground,5.75
1087,2010,litter,85
1089,2010,bareground,5.5
1089,2010,litter,21.25
1090,2010,bareground,0.5
1090,2010,litter,37.5
1091,2010,bareground,10
1091,2010,litter,85
1092,2010,bareground,8.75
1092,2010,litter,29.875
1093,2010,bareground,0.255
1093,2010,litter,62.5
1094,2010,bareground,19
1094,2010,litter,36.875
1097,2010,bareground,0.1275
1097,2010,litter,91
1098,2010,bareground,3.7525
1098,2010,litter,0.255
1099,2010,bareground,1.1275
1099,2010,litter,30
1100,2010,bareground,0
1100,2010,litter,79.375
1136,2010,bareground,0.125
1136,2010,litter,79.375
1376,2010,bareground,0
1376,2010,litter,85
1388,2010,bareground,0.3775
1388,2010,litter,76.125
3362,2010,bareground,1.875
3362,2010,litter,43.75
3364,2010,bareground,0.6275
3364,2010,litter,73.75
3365,2010,bareground,0.75
3365,2010,litter,85
3367,2010,bareground,12.5
3367,2010,litter,2.125
3368,2010,bareground,1.75
3368,2010,litter,6.5
3369,2010,bareground,0
3369,2010,litter,85
3370,2010,bareground,12.5
3370,2010,litter,43.75
3376,2010,bareground,0.25
3376,2010,litter,28.75
3377,2010,bareground,0
3377,2010,litter,0
3381,2010,bareground,14
3381,2010,litter,0.0025
3385,2010,bareground,10.625
3385,2010,litter,15.625
3386,2010,bareground,4.5
3386,2010,litter,1.5
3389,2010,bareground,0
3389,2010,litter,0.3775
3396,2010,bareground,0.8775
3396,2010,litter,20
3409,2010,bareground,0
3409,2010,litter,85
3420,2010,bareground,4.5
3420,2010,litter,43.75
3484,2010,bareground,0
3484,2010,litter,73.75
3596,2010,bareground,7.125
3596,2010,litter,79.375
3668,2010,bareground,0.5
3668,2010,litter,85
3732,2010,bareground,5.25
3732,2010,litter,85
3980,2010,bareground,1.75
3980,2010,litter,8.75
1101,2011,bareground,0
1102,2011,bareground,12
1103,2011,bareground,26.25
1104,2011,bareground,0.5
1105,2011,bareground,0.255
1110,2011,bareground,0
1111,2011,bareground,0.255
1112,2011,bareground,0.75
1113,2011,bareground,0.505
1114,2011,bareground,0
1115,2011,bareground,0.0075
1116,2011,bareground,5.25
1117,2011,bareground,0.005
1122,2011,bareground,17.5
1124,2011,bareground,0.13
1125,2011,bareground,1.25
1126,2011,bareground,27
1127,2011,bareground,0.005
1128,2011,bareground,0.255
1129,2011,bareground,0.0075
1131,2011,bareground,0.75
1132,2011,bareground,0.0025
1134,2011,bareground,4.6275
1135,2011,bareground,0
1140,2011,bareground,0.13
1141,2011,bareground,0
1143,2011,bareground,0.01
1144,2011,bareground,7.5
1145,2011,bareground,0.0025
1146,2011,bareground,1.3775
1147,2011,bareground,0
1148,2011,bareground,1.375
1149,2011,bareground,1.88
1150,2011,bareground,8
1151,2011,bareground,1.005
1153,2011,bareground,0.13
1154,2011,bareground,0.8825
1155,2011,bareground,0.1325
1156,2011,bareground,0.0075
1157,2011,bareground,1.255
1159,2011,bareground,4
1161,2011,bareground,0.125
1164,2011,bareground,1.5
1166,2011,bareground,8
1167,2011,bareground,0.6275
1168,2011,bareground,0.005
1169,2011,bareground,4
1171,2011,bareground,10.3775
1173,2011,bareground,25.25
1174,2011,bareground,0.8775
1175,2011,bareground,0.005
1176,2011,bareground,0.125
1177,2011,bareground,0.5
1178,2011,bareground,0
1179,2011,bareground,1.8775
1180,2011,bareground,3
1182,2011,bareground,0.3775
1183,2011,bareground,0.255
1184,2011,bareground,3.25
1187,2011,bareground,0
1189,2011,bareground,4
1190,2011,bareground,0
1191,2011,bareground,0.005
1192,2011,bareground,0.3775
1194,2011,bareground,0.5025
1195,2011,bareground,3.75
1196,2011,bareground,4.8775
1197,2011,bareground,1.3775
1198,2011,bareground,1.8775
1199,2011,bareground,0.1275
1200,2011,bareground,13.25
3372,2011,bareground,1.75
3374,2011,bareground,0.38
3378,2011,bareground,4
3382,2011,bareground,0.0075
3387,2011,bareground,0.125
3394,2011,bareground,6.625
3400,2011,bareground,0.755
3406,2011,bareground,0.0025
3411,2011,bareground,35.25
3413,2011,bareground,0.005
3415,2011,bareground,0.1275
3417,2011,bareground,2.2525
3425,2011,bareground,1.25
3435,2011,bareground,10
3459,2011,bareground,0.5
1101,2011,litter,0.255
1102,2011,litter,40
1103,2011,litter,56.25
1104,2011,litter,0
1105,2011,litter,91
1110,2011,litter,79.375
1111,2011,litter,61.875
1112,2011,litter,11
1113,2011,litter,85
1114,2011,litter,85
1115,2011,litter,88
1116,2011,litter,0
1117,2011,litter,85
1122,2011,litter,5.5
1124,2011,litter,20.125
1125,2011,litter,28.75
1126,2011,litter,33.75
1127,2011,litter,73.75
1128,2011,litter,28.75
1129,2011,litter,68.125
1131,2011,litter,88
1132,2011,litter,6.25
1134,2011,litter,38.75
1135,2011,litter,0
1140,2011,litter,88
1141,2011,litter,0
1143,2011,litter,88
1144,2011,litter,61.875
1145,2011,litter,67.5
1146,2011,litter,30.25
1147,2011,litter,0
1148,2011,litter,76.75
1149,2011,litter,30.25
1150,2011,litter,73.75
1151,2011,litter,85.375
1153,2011,litter,50
1154,2011,litter,30.25
1155,2011,litter,76.75
1156,2011,litter,0
1157,2011,litter,65.5
1159,2011,litter,11
1161,2011,litter,85
1164,2011,litter,3.25
1166,2011,litter,0.6275
1167,2011,litter,0.005
1168,2011,litter,0.0025
1169,2011,litter,33.75
1171,2011,litter,42.5
1173,2011,litter,2.625
1174,2011,litter,0.0025
1175,2011,litter,88
1176,2011,litter,45
1177,2011,litter,0
1178,2011,litter,79.375
1179,2011,litter,0.005
1180,2011,litter,0.01
1182,2011,litter,85
1183,2011,litter,50
1184,2011,litter,1.5
1187,2011,litter,7.1275
1189,2011,litter,1.5
1190,2011,litter,0.005
1191,2011,litter,88
1192,2011,litter,12
1194,2011,litter,2.75
1195,2011,litter,11.5
1196,2011,litter,4.8775
1197,2011,litter,22.5
1198,2011,litter,31.25
1199,2011,litter,61.875
1200,2011,litter,26.25
3372,2011,litter,3.5
3374,2011,litter,82.375
3378,2011,litter,0.5025
3382,2011,litter,85
3387,2011,litter,0.0025
3394,2011,litter,11
3400,2011,litter,85
3406,2011,litter,61.875
3411,2011,litter,6.255
3413,2011,litter,85
3415,2011,litter,79.375
3417,2011,litter,67.5
3425,2011,litter,62.5
3435,2011,litter,0.1325
3459,2011,litter,0.0075
