SPCODE,taxa,genus,species,variety,tolerance,native,family,hydrophyte,form,habit,group,shade,clemet.tier,odnr.class,ohio.noxious,clemet.priority
SAMPUB,Sambucus_pubens,Sambucus,pubens,NA,sensitive,native,Caprifoliaceae,upland,shrub,W,DI,full,NA,NA,NA,NA
SANCAN,Sanguinaria_canadensis,Sanguinaria,canadensis,NA,midrange,native,Papaveraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SANICAN,Sanicula_canadensis,Sanicula,canadensis,NA,midrange,native,Apiaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SANIGR,Sanicula_gregaria,Sanicula,gregaria,NA,midrange,native,Apiaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SANIMA,Sanicula_marilandica,Sanicula,marilandica,NA,midrange,native,Apiaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SASALB,Sassafras_albidum,Sassafras,albidum,NA,midrange,native,Lauraceae,upland,tree,W,DI,tree,NA,NA,NA,NA
SCIATR,Scirpus_atrovirens,Scirpus,atrovirens,NA,tolerant,native,Cyperaceae,hydrophyte,sedge,PE,MO,full,NA,NA,NA,NA
SCICYP,Scirpus_cyperinus,Scirpus,cyperinus,NA,tolerant,native,Cyperaceae,hydrophyte,sedge,PE,MO,full,NA,NA,NA,NA
SCRMAR,Scrophularia_marilandica,Scrophularia,marilandica,NA,midrange,native,Scrophulariaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SCULAT,Scutellaria_lateriflora,Scutellaria,lateriflora,NA,midrange,native,Lamiaceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
SEDTER,Sedum_ternatum,Sedum,ternatum,NA,midrange,native,Crassulaceae,upland,forb,PE,DI,full,NA,NA,NA,NA
SENAUR,Senecio_aureus,Senecio,aureus,NA,midrange,native,Asteraceae,hydrophyte,forb,PE,DI,shade,NA,NA,NA,NA
SENOBO,Senecio_obovatus,Senecio,obovatus,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SISANG,Sisyrinchium_angustifolium,Sisyrinchium,angustifolium,NA,tolerant,native,Iridaceae,hydrophyte,forb,PE,MO,full,NA,NA,NA,NA
SMXHIS,Smilax_hispida,Smilax,hispida,NA,midrange,native,Smilacaceae,FAC,vine,W,MO,shade,NA,NA,NA,NA
SMXROT,Smilax_rotundifolia,Smilax,rotundifolia,NA,midrange,native,Smilacaceae,FAC,vine,W,MO,shade,NA,NA,NA,NA
SLMCAR,Solanum_carolinense,Solanum,carolinense,NA,tolerant,adventive,Solanaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
SLMDUL,Solanum_dulcamara,Solanum,dulcamara,NA,tolerant,adventive,Solanaceae,FAC,vine,PE,DI,advent,NA,NA,FALSE,FALSE
SLMNIG,Solanum_nigrum,Solanum,nigrum,NA,tolerant,native,Solanaceae,upland,forb,AN,DI,partial,NA,NA,NA,NA
SOLBIC,Solidago_bicolor,Solidago,bicolor,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SOLCAE,Solidago_caesia,Solidago,caesia,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SOLCAN,Solidago_canadensis,Solidago,canadensis,NA,tolerant,native,Asteraceae,upland,forb,PE,DI,full,NA,NA,NA,NA
SOLFLE,Solidago_flexicaulis,Solidago,flexicaulis,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
SOLGIG,Solidago_gigantea,Solidago,gigantea,NA,midrange,native,Asteraceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
SOLJUN,Solidago_juncea,Solidago,juncea,NA,tolerant,native,Asteraceae,upland,forb,PE,DI,partial,NA,NA,NA,NA
SOLRUG,Solidago_rugosa,Solidago,rugosa,NA,tolerant,native,Asteraceae,FAC,forb,PE,DI,full,NA,NA,NA,NA
SORBUS,Sorbus_sp,Sorbus,sp,NA,NA,NA,Rosaceae,NA,sm.tree,W,DI,NA,NA,NA,NA,NA
SPHOBTO,Sphenopholis_obtusata,Sphenopholis,obtusata,obtusata,sensitive,native,Poaceae,FAC,grass,PE,MO,full,NA,NA,NA,NA
STEMED,Stellaria_media,Stellaria,media,NA,tolerant,adventive,Caryophyllaceae,upland,forb,AN,DI,advent,NA,NA,FALSE,FALSE
SYMORB,Symphoricarpos_orbiculatus,Symphoricarpos,orbiculatus,NA,midrange,native,Caprifoliaceae,upland,shrub,W,DI,partial,NA,NA,NA,NA
SYMFOE,Symplocarpus_foetidus,Symplocarpus,foetidus,NA,sensitive,native,Araceae,hydrophyte,forb,PE,MO,shade,NA,NA,NA,NA
TAROFF,Taraxacum_officinale,Taraxacum,officinale,NA,tolerant,adventive,Asteraceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
TAXCAN,Taxus_canadensis,Taxus,canadensis,NA,sensitive,native,Taxaceae,FAC,shrub,W,GYMN,shade,NA,NA,NA,NA
TEUCAN,Teucrium_canadense,Teucrium,canadense,NA,midrange,native,Lamiaceae,hydrophyte,forb,PE,DI,full,NA,NA,NA,NA
THADAS,Thalictrum_dasycarpum,Thalictrum,dasycarpum,NA,midrange,native,Ranunculaceae,hydrophyte,forb,PE,DI,full,NA,NA,NA,NA
THAPUB,Thalictrum_pubescens,Thalictrum,pubescens,NA,midrange,native,Ranunculaceae,hydrophyte,forb,PE,DI,full,NA,NA,NA,NA
THATRI,Thaspium_trifoliatum,Thaspium,trifoliatum,NA,midrange,native,Apiaceae,upland,forb,PE,DI,full,NA,NA,NA,NA
THEHEX,Thelypteris_hexagonaptera,Thelypteris,hexagonaptera,NA,sensitive,native,Thelypteridaceae,FAC,fern,PE,SVP,shade,NA,NA,NA,NA
THENOV,Thelypteris_noveboracensis,Thelypteris,noveboracensis,NA,midrange,native,Thelypteridaceae,FAC,fern,PE,SVP,shade,NA,NA,NA,NA
TIACOR,Tiarella_cordifolia,Tiarella,cordifolia,NA,sensitive,native,Saxifragaceae,FAC,forb,PE,DI,shade,NA,NA,NA,NA
TILAME,Tilia_americana,Tilia,americana,NA,sensitive,native,Tiliaceae,upland,tree,W,DI,tree,NA,NA,NA,NA
TORJAP,Torilis_japonica,Torilis,japonica,NA,tolerant,adventive,Apiaceae,upland,forb,AN,DI,advent,2,NA,FALSE,FALSE
TOXRAD,Toxicodendron_radicans,Toxicodendron,radicans,NA,tolerant,native,Anacardiaceae,FAC,vine,W,DI,partial,NA,NA,NA,NA
TRFPRA,Trifolium_pratense,Trifolium,pratense,NA,tolerant,adventive,Fabaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
TRFREP,Trifolium_repens,Trifolium,repens,NA,tolerant,adventive,Fabaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
TRLGRA,Trillium_grandiflorum,Trillium,grandiflorum,NA,midrange,native,Liliaceae,upland,forb,PE,MO,shade,NA,NA,NA,NA
TSUCAN,Tsuga_canadensis,Tsuga,canadensis,NA,sensitive,native,Pinaceae,upland,tree,W,GYMN,tree,NA,NA,NA,NA
TUSFAR,Tussilago_farfara,Tussilago,farfara,NA,tolerant,adventive,Asteraceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
ULMAME,Ulmus_americana,Ulmus,americana,NA,tolerant,native,Ulmaceae,hydrophyte,tree,W,DI,tree,NA,NA,NA,NA
ULMRUB,Ulmus_rubra,Ulmus,rubra,NA,midrange,native,Ulmaceae,FAC,tree,W,DI,tree,NA,NA,NA,NA
URTDIOD,Urtica_dioica_dioica,Urtica,dioica,dioica,tolerant,adventive,Urticaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
URTIDIOP,Urtica_dioica_procera,Urtica,dioica,procera,tolerant,native,Urticaceae,FAC,forb,PE,DI,full,NA,NA,NA,NA
UVUGRA,Uvularia_grandiflora,Uvularia,grandiflora,NA,midrange,native,Liliaceae,upland,forb,PE,MO,shade,NA,NA,NA,NA
VACPAL,Vaccinium_pallidum,Vaccinium,pallidum,NA,sensitive,native,Ericaceae,upland,shrub,W,DI,shade,NA,NA,NA,NA
VERURT,Verbena_urticifolia,Verbena,urticifolia,NA,midrange,native,Verbenaceae,upland,forb,PE,DI,full,NA,NA,NA,NA
VERALT,Verbesina_alternifolia,Verbesina,alternifolia,NA,midrange,native,Asteraceae,FAC,forb,PE,DI,partial,NA,NA,NA,NA
VERGIG,Vernonia_gigantea,Vernonia,gigantea,NA,tolerant,native,Asteraceae,FAC,forb,PE,DI,full,NA,NA,NA,NA
VEROFF,Veronica_officinalis,Veronica,officinalis,NA,tolerant,adventive,Scrophulariaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
VERSER,Veronica_serpyllifolia,Veronica,serpyllifolia,NA,tolerant,adventive,Scrophulariaceae,FAC,forb,PE,DI,advent,NA,NA,FALSE,FALSE
VIBACE,Viburnum_acerifolium,Viburnum,acerifolium,NA,sensitive,native,Caprifoliaceae,upland,shrub,W,DI,shade,NA,NA,NA,NA
VIBALN,Viburnum_alnifolium,Viburnum,alnifolium,NA,sensitive,native,Caprifoliaceae,FAC,shrub,W,DI,shade,NA,NA,NA,NA
VIBDEN,Viburnum_dentatum,Viburnum,dentatum,NA,tolerant,native,Caprifoliaceae,FAC,shrub,W,DI,full,NA,NA,NA,NA
VIBLEN,Viburnum_lentago,Viburnum,lentago,NA,midrange,native,Caprifoliaceae,FAC,shrub,W,DI,partial,NA,NA,NA,NA
VIBOPUO,Viburnum_opulus,Viburnum,opulus,opulus,tolerant,adventive,Caprifoliaceae,advent,shrub,W,DI,advent,3,established,FALSE,FALSE
VIBPLI,Viburnum_plicatum,Viburnum,plicatum,NA,tolerant,adventive,Caprifoliaceae,advent,shrub,W,DI,advent,3,NA,FALSE,FALSE
VIBREC,Viburnum_recognitum,Viburnum,recognitum,NA,tolerant,native,Caprifoliaceae,hydrophyte,shrub,W,DI,partial,NA,NA,NA,NA
VINMIN,Vinca_minor,Vinca,minor,NA,tolerant,adventive,Apocynaceae,upland,vine,PE,DI,advent,4,established,FALSE,FALSE
VIOCAN,Viola_canadensis,Viola,canadensis,NA,midrange,native,Violaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
VIOCON,Viola_conspersa,Viola,conspersa,NA,midrange,native,Violaceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
VIOHAS,Viola_hastata,Viola,hastata,NA,sensitive,native,Violaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
VIOPUB,Viola_pubescens,Viola,pubescens,NA,midrange,native,Violaceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
VIOSOR,Viola_sororia,Viola,sororia,NA,tolerant,native,Violaceae,FAC,forb,PE,DI,shade,NA,NA,NA,NA
VIOSTR,Viola_striata,Viola,striata,NA,midrange,native,Violaceae,hydrophyte,forb,PE,DI,partial,NA,NA,NA,NA
VITAES,Vitis_aestivalis,Vitis,aestivalis,NA,midrange,native,Vitaceae,upland,vine,W,DI,shade,NA,NA,NA,NA
VITRIP,Vitis_riparia,Vitis,riparia,NA,midrange,native,Vitaceae,hydrophyte,vine,W,DI,partial,NA,NA,NA,NA
XANSTR,Xanthium_strumarium,Xanthium,strumarium,NA,tolerant,adventive,Asteraceae,FAC,forb,AN,DI,advent,NA,NA,FALSE,FALSE
ZIZAUR,Zizia_aurea,Zizia,aurea,NA,sensitive,native,Apiaceae,FAC,forb,PE,DI,full,NA,NA,NA,NA
